Unnamed: 0,New Time of Access,API_Key,Rate Limiting,Endpoint Entropy,HTTP Method,API Endpoint,HTTP Status,User-Agent,Classification Label,New Time of Access (SGT),Time Misuse Flag,Token Used,Method_POST,Time of Day
0,2/12/2024 4:50,AIzaDScS4rB6ARQhfT2OVfS8lSi32ajQZ0,1,0.638300619,POST,/api/unknown,200,PostmanRuntime/7.29.0,Potential Misuse,2/12/2024 12:50,Legitimate,8,0,Night
1,11/8/2024 11:09,sk-proj-Brc8icpzvyiqbtbMFyyx,44,0.258879189,POST,/v1/auth/login,429,"AppleWebKit/537.36 (KHTML, like Gecko)",Potential Misuse,11/8/2024 19:09,Legitimate,264,0,Morning
2,8/8/2024 4:20,sk-proj-YhDixEhxmgPBq9C9Rj40,124,0.458152676,POST,/v1/admin/config,200,Bingbot/2.0 (+http://www.bing.com/bingbot.htm),Potential Misuse,8/8/2024 12:20,Legitimate,620,0,Night
3,16/5/2024 2:41,sk-proj-X1MoXYppi2ZxFyS9XBQb,89,0.439171577,POST,/v1/admin/config,200,Node.js/18.3.0,Potential Misuse,16/5/2024 10:41,Legitimate,356,0,Night
4,4/11/2024 17:59,sk-proj-aEn4qFb9CC27Vx3JiFBH,113,0.950962703,POST,/api/unknown,200,PostmanRuntime/7.29.0,Potential Misuse,5/11/2024 1:59,Legitimate,226,0,Afternoon
5,7/4/2024 11:38,AIzaVa5Ct4nvE1lylOPriRqOsZsdosbnzw,82,0.46589921,POST,/v1/admin/config,200,Googlebot/2.1 (+http://www.google.com/bot.html),Potential Misuse,7/4/2024 19:38,Legitimate,328,0,Morning
6,2/6/2024 20:05,sk-proj-ljE2Cqe1hwimS03q3uML,149,0.819848393,POST,/v1/admin/config,429,"AppleWebKit/537.36 (KHTML, like Gecko)",Potential Misuse,3/6/2024 4:05,Legitimate,894,0,Evening
7,28/8/2024 19:05,sk-proj-fc0ereZ98tdNeHDjvCke,12,0.743448431,POST,/maps/api/geocode/json,200,PostmanRuntime/7.29.0,Legitimate,29/8/2024 3:05,Legitimate,36,0,Evening
8,22/6/2024 14:07,AIzaspQ5ZwovkuNkK2yKqvbzKfkRzXZLMo,142,0.359629555,POST,/maps/api/geocode/json,403,Googlebot/2.1 (+http://www.google.com/bot.html),Legitimate,22/6/2024 22:07,Potential Misuse,426,0,Afternoon
9,11/7/2024 14:37,AIzaBiJ3Ijem4FLEvnxnHKuy2pEQ6FEimU,147,0.421341828,POST,/v1/chat/completions,403,Python-Requests/2.26.0,Potential Misuse,11/7/2024 22:37,Potential Misuse,1111,0,Afternoon
10,4/5/2024 19:47,AIza2qEzhseqiorKEZ9wAEUk3SSZZPMc4e,126,0.975023563,POST,/v1/chat/completions,403,Node.js/18.3.0,Legitimate,5/5/2024 3:47,Legitimate,252,0,Evening
11,11/6/2024 16:34,AIzaGxJWGWsvWqTb5uw9QzAUa6oXMVYqpZ,139,0.12648391,POST,/v1/admin/config,403,Mozilla/5.0 (Windows NT 10.0; Win64; x64),Potential Misuse,12/6/2024 0:34,Legitimate,973,0,Afternoon
12,10/3/2024 8:13,sk-proj-HCW58FsqaJTuXNn41O0G,74,0.825678936,POST,/api/unknown,429,Node.js/18.3.0,Potential Misuse,10/3/2024 16:13,Legitimate,222,0,Morning
13,24/12/2024 12:56,AIzaCIBYmSxrN9ZlLfwlfEqhXK109zakEt,18,0.836892454,POST,/v1/auth/login,403,Node.js/18.3.0,Potential Misuse,24/12/2024 20:56,Potential Misuse,90,0,Afternoon
14,12/7/2024 3:14,AIzab8oXoKXDYyPN9EEXji8SGTwK3xq4Ei,84,0.606364984,POST,/v1/chat/completions,403,Python-Requests/2.26.0,Legitimate,12/7/2024 11:14,Legitimate,168,0,Night
15,7/12/2024 10:54,sk-proj-cTzK8ihmlXsm9yHHSOdm,109,0.223142442,POST,/v1/admin/config,429,"AppleWebKit/537.36 (KHTML, like Gecko)",Potential Misuse,7/12/2024 18:54,Legitimate,981,0,Morning
16,29/7/2024 3:56,AIzaj59kb2uDSJTk2OVa0fZH5YCk6BdVa5,87,0.530696164,POST,/v1/auth/login,200,"AppleWebKit/537.36 (KHTML, like Gecko)",Potential Misuse,29/7/2024 11:56,Legitimate,261,0,Night
17,4/9/2024 11:21,sk-proj-IsigBlHNSb40WcnVMbth,61,0.422673302,POST,/maps/api/geocode/json,429,Bingbot/2.0 (+http://www.bing.com/bingbot.htm),Legitimate,4/9/2024 19:21,Legitimate,366,0,Morning
18,24/4/2024 20:34,AIzajdfYLcE5jlFI6W42uCBjndW0ZHWZn0,58,0.283895388,POST,/v1/chat/completions,403,cURL/7.79.1,Legitimate,25/4/2024 4:34,Legitimate,522,0,Evening
19,27/5/2024 3:35,AIza5vo2JgeGskCvVuy5sAf9oCTdvzrbcL,139,0.814208021,POST,/v1/admin/config,403,"AppleWebKit/537.36 (KHTML, like Gecko)",Potential Misuse,27/5/2024 11:35,Legitimate,1112,0,Night
20,25/6/2024 0:03,sk-proj-HwbFniSI6aUFF0XXhYWd,30,0.34204414,POST,/maps/api/geocode/json,429,Node.js/18.3.0,Legitimate,25/6/2024 8:03,Legitimate,60,0,Night
21,18/7/2024 21:49,AIzaBgc4zU79KrsZLHXPQJIpDJbI7r4mRT,48,0.664647419,POST,/v1/admin/config,200,Bingbot/2.0 (+http://www.bing.com/bingbot.htm),Potential Misuse,19/7/2024 5:49,Legitimate,432,0,Evening
22,10/9/2024 3:05,AIzaSaxZ6C2M3QJrXyaxfha06dPzgNohR0,134,0.399664215,POST,/maps/api/geocode/json,200,Node.js/18.3.0,Legitimate,10/9/2024 11:05,Legitimate,938,0,Night
23,8/5/2024 7:43,AIzaESACWPDpad4FSyQSR9In45OotDYBgU,65,0.771917356,POST,/v1/chat/completions,200,Node.js/18.3.0,Legitimate,8/5/2024 15:43,Legitimate,65,0,Morning
24,9/7/2024 21:13,sk-proj-PbQfoQkls80vDHEnTp6W,7,0.528902287,POST,/maps/api/geocode/json,429,Node.js/18.3.0,Legitimate,10/7/2024 5:13,Legitimate,28,0,Evening
25,19/1/2024 4:31,AIzaGoxNxjpdlABBQLxiLSVBEVup6oPn4T,64,0.571157433,POST,/v1/auth/login,200,Googlebot/2.1 (+http://www.google.com/bot.html),Potential Misuse,19/1/2024 12:31,Legitimate,192,0,Night
26,30/11/2024 17:24,sk-proj-pRxyXM1QXVmn95a0xbr1,5,0.831543912,POST,/maps/api/geocode/json,429,wget/1.21.2,Legitimate,1/12/2024 1:24,Legitimate,45,0,Afternoon
27,9/2/2024 16:54,AIzaLFAlCHM0LGsCjia9LRh1cj3tkBi3OX,4,0.669445296,POST,/v1/admin/config,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64),Potential Misuse,10/2/2024 0:54,Legitimate,24,0,Afternoon
28,31/7/2024 12:28,sk-proj-S5b9kRa4BEe7hDvV9Fl5,138,0.252630843,POST,/v1/admin/config,200,"AppleWebKit/537.36 (KHTML, like Gecko)",Potential Misuse,31/7/2024 20:28,Potential Misuse,552,0,Afternoon
29,20/10/2024 19:57,AIzagonCAuq3KYraZ1OKMXpicOK9lJel8C,35,0.723640073,POST,/v1/auth/login,403,wget/1.21.2,Potential Misuse,21/10/2024 3:57,Legitimate,140,0,Evening
30,3/5/2024 11:02,AIza9nV91Xa1XbtEXJZMIphrjOb4Buc2ks,124,0.13761167,POST,/v1/auth/login,200,wget/1.21.2,Potential Misuse,3/5/2024 19:02,Legitimate,248,0,Morning
31,17/1/2024 3:15,sk-proj-chP9imUGdg133k2XV3kN,121,0.388126799,POST,/v1/admin/config,403,"AppleWebKit/537.36 (KHTML, like Gecko)",Potential Misuse,17/1/2024 11:15,Legitimate,605,0,Night
32,13/4/2024 14:21,AIzasHdH18jvSyOuMa45n6W0M6m0u86MJz,135,0.296009148,POST,/v1/auth/login,200,cURL/7.79.1,Potential Misuse,13/4/2024 22:21,Potential Misuse,1215,0,Afternoon
33,21/6/2024 15:38,AIzaVl5bSeQOLLB9QonBy2ATO2Ae1kA8Ar,104,0.679041578,POST,/v1/auth/login,200,wget/1.21.2,Potential Misuse,21/6/2024 23:38,Potential Misuse,728,0,Afternoon
34,1/1/2024 11:08,sk-proj-YCM6IcHIkqOs2ZyCsn3I,120,0.34510795,POST,/maps/api/geocode/json,429,Bingbot/2.0 (+http://www.bing.com/bingbot.htm),Legitimate,1/1/2024 19:08,Legitimate,960,0,Morning
35,26/5/2024 6:40,sk-proj-4cTQGCOCHmmqTyvclxkl,44,0.264326467,POST,/v1/chat/completions,403,Python-Requests/2.26.0,Legitimate,26/5/2024 14:40,Legitimate,44,0,Morning
36,6/8/2024 22:58,AIza9OfnR8Lv6NbtZGkGPsrkuecspbaLeB,99,0.481670774,POST,/v1/admin/config,200,Bingbot/2.0 (+http://www.bing.com/bingbot.htm),Potential Misuse,7/8/2024 6:58,Legitimate,693,0,Evening
37,18/4/2024 10:47,AIzaTRWJUfwpDGyqz7njEJqr5FsDSx22rx,118,0.998371673,POST,/v1/chat/completions,403,PostmanRuntime/7.29.0,Legitimate,18/4/2024 18:47,Legitimate,590,0,Morning
38,24/12/2024 5:22,AIzaONauiHsGnlpVyvYSSUz3dQUmKdh85H,74,0.429873862,POST,/v1/chat/completions,200,cURL/7.79.1,Legitimate,24/12/2024 13:22,Legitimate,518,0,Night
39,30/10/2024 16:19,sk-proj-jVdngEAjSfqknhDQMlsW,116,0.962257812,POST,/v1/chat/completions,403,Bingbot/2.0 (+http://www.bing.com/bingbot.htm),Legitimate,31/10/2024 0:19,Legitimate,812,0,Afternoon
40,28/9/2024 13:06,AIzaBVTkDhHQnRmDF0O0C2lgLTRtxFKju8,81,0.512283366,POST,/maps/api/geocode/json,200,Python-Requests/2.26.0,Legitimate,28/9/2024 21:06,Potential Misuse,729,0,Afternoon
41,20/3/2024 0:54,sk-proj-eqIqIpevDmV4T7Obg9XO,59,0.787129134,POST,/api/unknown,200,Googlebot/2.1 (+http://www.google.com/bot.html),Potential Misuse,20/3/2024 8:54,Legitimate,354,0,Night
42,21/9/2024 15:24,sk-proj-kl7tdQaofufN7Y2EK0iS,141,0.643907551,POST,/v1/chat/completions,429,"AppleWebKit/537.36 (KHTML, like Gecko)",Legitimate,21/9/2024 23:24,Potential Misuse,846,0,Afternoon
43,31/3/2024 2:59,AIzaw2a2utOANCx3gcNGQv7PPqIQ9cHFgW,70,0.242708877,POST,/v1/admin/config,200,wget/1.21.2,Potential Misuse,31/3/2024 10:59,Legitimate,630,0,Night
44,24/6/2024 15:36,AIzabpIPTwYsLtXcdUMBV1QDPqoDPjCetI,114,0.414104103,POST,/v1/auth/login,200,PostmanRuntime/7.29.0,Potential Misuse,24/6/2024 23:36,Potential Misuse,1026,0,Afternoon
45,11/9/2024 15:16,AIzaYQewDFReHubetqQiOTywBuKdDWMF52,136,0.304394939,POST,/v1/admin/config,200,Scrapy/2.5.1 (+https://scrapy.org),Potential Misuse,11/9/2024 23:16,Potential Misuse,816,0,Afternoon
46,12/5/2024 0:28,AIzaeAgcx2UcgptwQ1JJwh6SUhkq2zaS3c,77,0.961104657,POST,/v1/admin/config,200,PostmanRuntime/7.29.0,Potential Misuse,12/5/2024 8:28,Legitimate,385,0,Night
47,8/9/2024 7:05,AIzah0LLOUHaSlX8t0MrDxd7SM8ClcDUlH,134,0.170451956,POST,/v1/auth/login,403,Googlebot/2.1 (+http://www.google.com/bot.html),Potential Misuse,8/9/2024 15:05,Legitimate,670,0,Morning
48,15/1/2024 4:43,sk-proj-MCsc6vsqO7Yyrx7m815Y,81,0.135921816,POST,/api/unknown,200,Python-Requests/2.26.0,Potential Misuse,15/1/2024 12:43,Legitimate,486,0,Night
49,18/3/2024 21:37,sk-proj-dNCMWsWwCjO8qQM4i67s,66,0.589355189,POST,/api/unknown,200,Node.js/18.3.0,Potential Misuse,19/3/2024 5:37,Legitimate,330,0,Evening
50,29/3/2024 1:42,AIza6zcV8TxgWT5eNjUszV1gJUvOhhQJQq,122,0.955004806,POST,/maps/api/geocode/json,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64),Legitimate,29/3/2024 9:42,Legitimate,1098,0,Night
51,6/12/2024 7:28,sk-proj-s3SJFrsmfZWBADsJpq63,92,0.560877946,POST,/v1/auth/login,200,Python-Requests/2.26.0,Potential Misuse,6/12/2024 15:28,Legitimate,368,0,Morning
52,17/6/2024 13:21,AIzas872khE9WAKj4V9TtrFeZgjakI5nTd,134,0.275199898,POST,/v1/chat/completions,403,Googlebot/2.1 (+http://www.google.com/bot.html),Legitimate,17/6/2024 21:21,Potential Misuse,536,0,Afternoon
53,11/11/2024 17:10,AIza9AmIhrIeCNL4d5o7z5QbPnu8pvyhUG,47,0.845301187,POST,/maps/api/geocode/json,200,Googlebot/2.1 (+http://www.google.com/bot.html),Legitimate,12/11/2024 1:10,Legitimate,141,0,Afternoon
54,6/6/2024 6:29,sk-proj-pJrt2bh9L5NhXAZB8X1N,4,0.448857849,POST,/v1/auth/login,429,PostmanRuntime/7.29.0,Potential Misuse,6/6/2024 14:29,Legitimate,32,0,Morning
55,6/6/2024 18:22,AIzag1DIds4xVfvo8j7UobSCKGsNf3dS8d,65,0.687491662,POST,/v1/auth/login,200,Scrapy/2.5.1 (+https://scrapy.org),Potential Misuse,7/6/2024 2:22,Legitimate,455,0,Evening
56,9/10/2024 15:58,sk-proj-gS4rvAnytuebx41Xh2Rv,109,0.264081186,POST,/maps/api/geocode/json,429,Googlebot/2.1 (+http://www.google.com/bot.html),Legitimate,9/10/2024 23:58,Potential Misuse,872,0,Afternoon
57,25/2/2024 21:57,sk-proj-26MnDbd1PkL0EBNokI2f,26,0.28345293,POST,/v1/admin/config,429,Scrapy/2.5.1 (+https://scrapy.org),Potential Misuse,26/2/2024 5:57,Legitimate,104,0,Evening
58,27/6/2024 11:11,sk-proj-nips7NJp1CJv3Brbxczl,58,0.694422768,POST,/v1/auth/login,403,Mozilla/5.0 (Windows NT 10.0; Win64; x64),Potential Misuse,27/6/2024 19:11,Legitimate,58,0,Morning
