Rate Limiting,Endpoint Entropy,HTTP Method,API Endpoint,HTTP Status,User-Agent,Token Used,Method_POST,Time of Day,Classification Label,New Time of Access,API_Key
67,0.928863101,POST,/data,429,noisy_value_512,2348,1,Night,1,19/2/2025 4:06,sk-ant-api03-c5YqJsJDqde6erH6hVuWccvuiHe8Wpm_AjXL6kk6VHuxjVbF
46,0.221708407,POST,noisy_value_694,429,Java/1.8.0_201,1344,1,Night,1,25/3/2024 1:44,sk-ant-api03-0TVx88Gfqcu98lCAWYkRPdhAB4ejqKKJPihUzbLcXnp2x9SL
76,0.240037402,POST,/api/admin,318,noisy_value_317,341,1,Night,1,19/2/2025 23:44,sk-ant-api03-BWiDHTwJqiwNDxpmP8TtZjnsr3IN4oXFAP9jAPi8PWehvPIR
41,0.699456682,POST,/data,200,PostmanRuntime/7.29.0,180,1,Night,1,19/2/2025 3:28,sk-ant-api03-XyukQ2dD9AVwYuRJoEbbX8WOoXZQcR56kc1MdyBGBlYVrCTN
18,0.463389457,POST,/app/config,403,Mozilla/5.0,133,1,Night,1,19/2/2025 2:06,sk-ant-api03-5XHQAAdmKwg8Frh4Rwvb49JiH35DcRgIgw2yKfB5yy6XcIVk
107,0.608472411,POST,noisy_value_781,429,Mozilla/5.0,1849,1,Night,1,19/2/2025 21:08,sk-ant-api03-sWuPi8joAc5jdDk69cpexOufVaXmIyvlONadDTJzMxboSl42
6,0.686083076,POST,noisy_value_659,403,Mozilla/5.0,176,1,Night,1,19/2/2025 23:30,sk-proj-hw4843gSztQaEbLoklBnbMBZo1ciXgM03GJr5BZkhVonj1Ip
109,0.883887882,POST,/api/user,252,noisy_value_973,511,1,Morning,1,19/2/2025 11:47,sk-proj-S28otX5qM3whOdp256kpyiGyPVupVhDNr6nVFspDaNsuzaIR
58,0.491191987,POST,noisy_value_586,403,PostmanRuntime/7.29.0,266,1,Morning,1,19/2/2025 7:10,sk-ant-api03-Flh3NwxXl7gDbYqxPecCLc8aA3nKLg7HK9q8WTzFEpLrpXsX
141,0.281166471,POST,/api/user,403,noisy_value_945,2871,1,Morning,1,19/2/2025 9:00,sk-ant-api03-gqysK4zYZ4ovrQugkLvYbWALRAVT1nxtvjVLc1BLZsrk_uwW
128,0.100649326,POST,/notifications/list,405,Mozilla/5.0,1017,1,Night,1,19/2/2025 4:41,sk-ant-api03-rrXh21r9N0kmdCyhGfsxkYspqCxFFnU2480JnK41nkV2xFAT
94,0.859826404,POST,noisy_value_650,200,Mozilla/5.0,477,1,Morning,1,19/2/2025 7:50,sk-proj-YeFIF93aalOI0nSyrWLrazzQxMA9jTHoQJAVvjbOxz2DcGu3
96,0.826923026,POST,/v1/chat/completions,429,Java/1.8.0_201,165,1,Morning,0,26/4/2024 11:15,sk-ant-api03-XyWoRdVOwygD2vARITtLULxAXZSsB7qnpESysQxUoRpX64jr
91,0.943181318,POST,/data,270,Python-requests/2.25.1,366,1,Night,1,19/2/2025 2:09,sk-proj-76zjKq1FJ3GsxmiMp5LBf2HaCnC1kJzUzb7abs2cPnBWiu6b
130,0.11909188,POST,/metrics/usage,403,Mozilla/5.0,648,1,Evening,1,19/2/2025 17:32,sk-ant-api03-l2pQ3T3x9HfItiR68I24YtpqlweApohGoJAxKyFyYC8IZ7M5
118,0.166162845,POST,noisy_value_319,403,noisy_value_641,2879,1,Night,1,19/2/2025 3:47,sk-ant-api03-OZKDtr9TKYpn0c8SComQBZBwZgXOhy9Fh9b1T2Wxs4pNu_ii
20,0.23304138,POST,noisy_value_659,403,Mozilla/5.0,667,1,Night,1,19/2/2025 1:30,sk-proj-xhF9qY4XnauKgMZA98czOq2NWrqnqvQNxiS7L1BMvKAnSIUa
287,0.398288,POST,noisy_value_533,429,noisy_value_588,1191,1,Night,1,19/2/2025 23:02,sk-ant-api03-M0rWS634EPsqMaX8hcXi0nvYv25nq8OP1DkAUDsKnp9ps6Lx
16,0.308375938,POST,/api/user,404,noisy_value_336,364,1,Morning,1,19/2/2025 10:22,sk-ant-api03-RB1Sw5B0z4zSJiml1uJgrwT1hoBc6YxtArCro1rZDkuheoSe
124,0.138471889,POST,noisy_value_662,403,Mozilla/5.0,2926,1,Night,1,19/2/2025 1:13,sk-ant-api03-sTOKwRnSNo_zIKLxKeod9EDoaXDMVVJIOnPuUraS0mn_vJE0
319,0.460993,POST,/service/status,494,noisy_value_171,2868,1,Morning,1,19/2/2025 11:21,sk-proj-JPGiD53xjhz0Mfix4H4VWGeGkWULZwUGyfmLPBQo5Cc15Olv
61,0.628099001,POST,/api/product,200,curl/7.64.1,580,1,Night,1,19/2/2025 3:53,sk-ant-api03-wtd8wr1e6Wqg4SvLYB_X4sxfyjyENDOpkDDKa_Y2ctv098Q_
133,0.971854013,POST,/user/profile,496,Mozilla/5.0,1608,1,Afternoon,1,19/2/2025 12:39,sk-ant-api03-lcSw02i7ALqZ2AjO8NWU9vmeSAPuAXfH_cF17CidT2XdpCN0
23,0.758844136,POST,noisy_value_923,286,Mozilla/5.0,672,1,Evening,0,25/11/2023 20:30,sk-ant-api03-6mGSPQYdt0K4TAwBe1edGbhv74R1XJcw1C1HahSfjsxtILh6
144,0.423563012,POST,/metrics/usage,200,Mozilla/5.0,1408,1,Night,1,19/2/2025 23:28,sk-proj-6BQrYucUHbkMmVF3oyWXoOr9YbaYZChCVkVSCiHj6vvGjCMt
101,0.690245218,POST,noisy_value_769,496,noisy_value_780,188,1,Night,1,19/2/2025 23:19,sk-proj-UvDNLgpNwP8AbXeOu68E70WI9s0YjIZqB8fXKgDkUcqwgdur
118,0.828869084,POST,noisy_value_790,200,Mozilla/5.0,794,1,Evening,1,19/2/2025 20:02,sk-ant-api03-jF2bi3jZgmwXuTbU6s54KlkkhBeDHQzMKsUptJxYCTiySBJr
70,0.471625691,POST,/service/status,405,noisy_value_780,74,1,Afternoon,1,19/2/2025 14:35,sk-proj-zWRvzGlxSVzd4NhEimvl2vPzG6RnakCwbJ6Qeo0nbmLILFzR
25,0.319286389,POST,/data,429,noisy_value_13,163,1,Morning,1,19/2/2025 8:17,sk-ant-api03-ACLjaB3UhG1r1ZntnQVpCczrX525ME3QrtCQhQW3Z8dQpIWn
7,0.182422984,POST,noisy_value_275,200,PostmanRuntime/7.29.0,29,1,Night,1,14/8/2024 4:12,sk-ant-api03-ZBu8AHCmzO78ckjmHssePnC17TjCdv3uqpmuJ5zaOPNNsQbw
