Rate Limiting,Endpoint Entropy,HTTP Method,API Endpoint,HTTP Status,User-Agent,Token Used,Method_POST,Time of Day,Classification Label,New Time of Access,API_Key
135,0.49236083,POST,/data,200,Mozilla/5.0,1215,1,Night,1,2025-02-19 01:54:00,AIzaSymvAeHTJicIVo37JFZMN1tz-oDakntkLlN9A
43,0.116769443,POST,/api/product,200,curl/7.64.1,86,1,Evening,1,2025-02-19 20:42:00,AIzaSywYz9I8MRgWbGpee-vySgjKnIW98M3DiqMc2
142,0.199790251,POST,/api/user,200,Python-requests/2.25.1,852,1,Afternoon,1,2025-02-19 16:04:00,AIzaSyEgVp3Oy92wA26vh3C5t1XAyWFjzfs1w6Et2
67,0.928863101,POST,/data,429,PostmanRuntime/7.29.0,603,1,Night,1,2025-02-19 04:06:00,sk-ant-api03-c5YqJsJDqde6erH6hVuWccvuiHe8Wpm_AjXL6kk6VHuxjVbF
108,0.953187653,POST,/v1/chat/completions,200,curl/7.64.1,432,1,Night,0,2024-07-01 21:20:52,AIzaSygMgQg5ddI3qvqfAgw4DxUfR8CSMyOVYWS3h
46,0.221708407,POST,/v1/chat/completions,429,curl/7.64.1,322,1,Night,0,2024-03-25 01:44:32,sk-ant-api03-0TVx88Gfqcu98lCAWYkRPdhAB4ejqKKJPihUzbLcXnp2x9SL
131,0.66301398,POST,/v1/chat/completions,403,Java/1.8.0_201,917,1,Morning,0,2024-04-17 06:30:29,AIzaSyq3yZREdVLcTjWN3mewLIg2rcRtAc0or9gsI
76,0.240037402,POST,/api/admin,403,Mozilla/5.0,228,1,Night,1,2025-02-19 23:44:00,sk-ant-api03-BWiDHTwJqiwNDxpmP8TtZjnsr3IN4oXFAP9jAPi8PWehvPIR
41,0.699456682,POST,/data,200,PostmanRuntime/7.29.0,82,1,Night,1,2025-02-19 03:28:00,sk-ant-api03-XyukQ2dD9AVwYuRJoEbbX8WOoXZQcR56kc1MdyBGBlYVrCTN
18,0.463389457,POST,/api/user,403,Java/1.8.0_201,36,1,Night,1,2025-02-19 02:06:00,sk-ant-api03-5XHQAAdmKwg8Frh4Rwvb49JiH35DcRgIgw2yKfB5yy6XcIVk
107,0.608472411,POST,/api/product,429,PostmanRuntime/7.29.0,642,1,Night,1,2025-02-19 21:08:00,sk-ant-api03-sWuPi8joAc5jdDk69cpexOufVaXmIyvlONadDTJzMxboSl42
6,0.686083076,POST,/api/user,403,Mozilla/5.0,42,1,Night,1,2025-02-19 23:30:00,sk-proj-hw4843gSztQaEbLoklBnbMBZo1ciXgM03GJr5BZkhVonj1Ip
109,0.883887882,POST,/api/user,429,Mozilla/5.0,218,1,Morning,1,2025-02-19 11:47:00,sk-proj-S28otX5qM3whOdp256kpyiGyPVupVhDNr6nVFspDaNsuzaIR
58,0.491191987,POST,/api/user,403,PostmanRuntime/7.29.0,116,1,Morning,1,2025-02-19 07:10:00,sk-ant-api03-Flh3NwxXl7gDbYqxPecCLc8aA3nKLg7HK9q8WTzFEpLrpXsX
141,0.281166471,POST,/api/user,403,Mozilla/5.0,846,1,Morning,1,2025-02-19 09:00:00,sk-ant-api03-gqysK4zYZ4ovrQugkLvYbWALRAVT1nxtvjVLc1BLZsrk_uwW
128,0.100649326,POST,/data,429,Java/1.8.0_201,768,1,Night,1,2025-02-19 04:41:00,sk-ant-api03-rrXh21r9N0kmdCyhGfsxkYspqCxFFnU2480JnK41nkV2xFAT
94,0.859826404,POST,/data,200,curl/7.64.1,282,1,Morning,1,2025-02-19 07:50:00,sk-proj-YeFIF93aalOI0nSyrWLrazzQxMA9jTHoQJAVvjbOxz2DcGu3
96,0.826923026,POST,/v1/chat/completions,429,Java/1.8.0_201,96,1,Morning,0,2024-04-26 11:15:00,sk-ant-api03-XyWoRdVOwygD2vARITtLULxAXZSsB7qnpESysQxUoRpX64jr
109,0.737796141,POST,/api/user,200,PostmanRuntime/7.29.0,327,1,Night,1,2025-02-19 04:02:00,AIzaSyYDMrSn11g6YpUKgotK91gQILTSrHarMXtgk
91,0.943181318,POST,/data,403,Python-requests/2.25.1,364,1,Night,1,2025-02-19 02:09:00,sk-proj-76zjKq1FJ3GsxmiMp5LBf2HaCnC1kJzUzb7abs2cPnBWiu6b
137,0.627130568,POST,/data,403,Java/1.8.0_201,274,1,Night,1,2025-02-19 02:31:00,AIzaSysJZOKVUNvxnZVoE_8PVzyGty3Pzah7wRben
130,0.11909188,POST,/api/product,403,Mozilla/5.0,130,1,Evening,1,2025-02-19 17:32:00,sk-ant-api03-l2pQ3T3x9HfItiR68I24YtpqlweApohGoJAxKyFyYC8IZ7M5
360,0.727005,POST,/login,200,Mozilla/5.0,44,1,Evening,1,2025-02-19 19:34:00,AIzaSy-F9VBPnPeO8pacWEmi4MtAqJeWpl1cXeJDP
118,0.166162845,POST,/data,403,PostmanRuntime/7.29.0,944,1,Night,1,2025-02-19 03:47:00,sk-ant-api03-OZKDtr9TKYpn0c8SComQBZBwZgXOhy9Fh9b1T2Wxs4pNu_ii
20,0.23304138,POST,/api/admin,403,Mozilla/5.0,160,1,Night,1,2025-02-19 01:30:00,sk-proj-xhF9qY4XnauKgMZA98czOq2NWrqnqvQNxiS7L1BMvKAnSIUa
8,0.720925784,POST,/api/product,429,PostmanRuntime/7.29.0,24,1,Morning,1,2025-02-19 06:20:00,AIzaSyOwvrZ2uwAi4lu0Geh0tYMHgI6kjlKaxM0Xv
122,0.122514462,POST,/api/admin,403,curl/7.64.1,244,1,Night,1,2025-02-19 00:09:00,AIzaSyGvuxjwYD_gISU--iA8pk2TYLqQWKe4ahsyj
287,0.398288,POST,/signup,429,Python-requests/2.25.1,306,1,Night,1,2025-02-19 23:02:00,sk-ant-api03-M0rWS634EPsqMaX8hcXi0nvYv25nq8OP1DkAUDsKnp9ps6Lx
16,0.308375938,POST,/api/user,403,curl/7.64.1,128,1,Morning,1,2025-02-19 10:22:00,sk-ant-api03-RB1Sw5B0z4zSJiml1uJgrwT1hoBc6YxtArCro1rZDkuheoSe
124,0.138471889,POST,/api/product,403,curl/7.64.1,992,1,Night,1,2025-02-19 01:13:00,sk-ant-api03-sTOKwRnSNo_zIKLxKeod9EDoaXDMVVJIOnPuUraS0mn_vJE0
319,0.460993,POST,/signup,429,curl/7.64.1,772,1,Morning,1,2025-02-19 11:21:00,sk-proj-JPGiD53xjhz0Mfix4H4VWGeGkWULZwUGyfmLPBQo5Cc15Olv
113,0.531229658,POST,/data,200,PostmanRuntime/7.29.0,565,1,Morning,1,2025-02-19 05:01:00,AIzaSy85uVJ-y-VyEERVGYOs4WlB7DFUyaim0BiYx
61,0.628099001,POST,/api/product,200,curl/7.64.1,427,1,Night,1,2025-02-19 03:53:00,sk-ant-api03-wtd8wr1e6Wqg4SvLYB_X4sxfyjyENDOpkDDKa_Y2ctv098Q_
133,0.971854013,POST,/api/product,200,PostmanRuntime/7.29.0,399,1,Afternoon,1,2025-02-19 12:39:00,sk-ant-api03-lcSw02i7ALqZ2AjO8NWU9vmeSAPuAXfH_cF17CidT2XdpCN0
23,0.758844136,POST,/v1/chat/completions,403,Mozilla/5.0,207,1,Evening,0,2023-11-25 20:30:02,sk-ant-api03-6mGSPQYdt0K4TAwBe1edGbhv74R1XJcw1C1HahSfjsxtILh6
144,0.423563012,POST,/api/admin,200,Mozilla/5.0,720,1,Night,1,2025-02-19 23:28:00,sk-proj-6BQrYucUHbkMmVF3oyWXoOr9YbaYZChCVkVSCiHj6vvGjCMt
101,0.690245218,POST,/api/admin,403,PostmanRuntime/7.29.0,101,1,Night,1,2025-02-19 23:19:00,sk-proj-UvDNLgpNwP8AbXeOu68E70WI9s0YjIZqB8fXKgDkUcqwgdur
118,0.828869084,POST,/api/user,200,curl/7.64.1,236,1,Evening,1,2025-02-19 20:02:00,sk-ant-api03-jF2bi3jZgmwXuTbU6s54KlkkhBeDHQzMKsUptJxYCTiySBJr
70,0.471625691,POST,/api/product,200,Java/1.8.0_201,70,1,Afternoon,1,2025-02-19 14:35:00,sk-proj-zWRvzGlxSVzd4NhEimvl2vPzG6RnakCwbJ6Qeo0nbmLILFzR
25,0.319286389,POST,/data,429,Java/1.8.0_201,150,1,Morning,1,2025-02-19 08:17:00,sk-ant-api03-ACLjaB3UhG1r1ZntnQVpCczrX525ME3QrtCQhQW3Z8dQpIWn
7,0.182422984,POST,/v1/chat/completions,200,PostmanRuntime/7.29.0,7,1,Night,0,2024-08-14 04:12:20,sk-ant-api03-ZBu8AHCmzO78ckjmHssePnC17TjCdv3uqpmuJ5zaOPNNsQbw
91,0.537353176,POST,/data,403,Java/1.8.0_201,182,1,Afternoon,1,2025-02-19 13:10:00,sk-proj-yI3wCOScO5kOGsLXLYJC2mcb2oYSCJkPYIVZQxzlGQNv4TgP
84,0.473552983,POST,/v1/chat/completions,200,Java/1.8.0_201,756,1,Morning,0,2025-10-06 05:19:04,AIzaSyKhrxINX8UTQaAiLpdevwb-FK1XETerY9wSc
